strategy,n_parents,median_ci_width,p90_ci_width,median_neff_min,p25_neff_min,min_neff10_coverage,min_neff20_coverage,min_neff30_coverage,pooled_auc,mask,corr_range_m
random_40,158,0.1329901727010019,0.1850451180486987,20.21601049099112,13.235129360313802,0.8164556962025317,0.5063291139240507,0.0189873417721519,0.9064211965229932,mask_off,300
random_200,158,0.0629668297887504,0.0838474455209214,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.0632911392405063,0.9102017100831704,mask_off,500
fscs_200,158,0.0629668297887504,0.0838474455209214,16.934548809365477,8.178326590308057,0.7088607594936709,0.3860759493670886,0.0632911392405063,0.9102017100831704,mask_off,500
fscs_150,158,0.0709274240550053,0.0987576431980037,16.740890145998335,8.632738666472932,0.7088607594936709,0.360759493670886,0.0253164556962025,0.9091525859378674,mask_off,500
random_150,158,0.0710254430615945,0.0954546902300877,16.575756758111737,8.23724868535207,0.7088607594936709,0.3481012658227848,0.0316455696202531,0.908285831135279,mask_off,500
feature_diverse_150,158,0.0715031127536799,0.0985002744501561,17.24167064505086,8.716070478989423,0.7215189873417721,0.430379746835443,0.050632911392405,0.9005366245010737,mask_off,500
spatial_thin_100_cap150,158,0.0738794448977862,0.115929114071085,18.973242317334176,9.822573063798442,0.7468354430379747,0.4240506329113924,0.0759493670886076,0.8923414120451588,mask_off,500
hybrid_150_diverse_150,158,0.079171441126175,0.1265510532968618,19.715037870705395,11.27174436903922,0.7784810126582279,0.4936708860759494,0.1139240506329113,0.8850139648026975,mask_off,500
spatial_thin_150_cap150,158,0.0823666782993393,0.1276655563609426,19.85060002845627,10.98111263824265,0.7658227848101266,0.4873417721518987,0.1075949367088607,0.884486140083752,mask_off,500
feature_diverse_100,158,0.0839430035316321,0.1104770003203906,16.811369803833664,9.547571129423716,0.7278481012658228,0.3860759493670886,0.0063291139240506,0.883278765422208,mask_off,500
random_100,158,0.0844481732965202,0.1196082223826933,15.453383301550495,8.320463173446585,0.7088607594936709,0.2974683544303797,0.0126582278481012,0.9083628665278,mask_off,500
fscs_100,158,0.0872266727990822,0.1164670717610807,16.15615633505007,8.158711370710126,0.7088607594936709,0.3417721518987341,0.0063291139240506,0.9078238703733376,mask_off,500
spatial_thin_100_cap100,158,0.089218885828494,0.1286715561286095,17.998335867946977,10.204439585835914,0.7531645569620253,0.379746835443038,0.0126582278481012,0.8958081802526902,mask_off,500
spatial_thin_150_cap100,158,0.0917735396849638,0.1325386366202106,19.3970584331092,10.886421028285849,0.7658227848101266,0.4683544303797468,0.0253164556962025,0.8885022209382358,mask_off,500
