parent_id,parent_label,dor_median_v2,category_v2,dor_knn,dor_median_v3,category_knn,category_median,dor_change,changed
000000000000000006e3,built_loss,0.4264119065013423,degraded,0.7227869658846536,0.4264119065013423,recovering,degraded,0.2963750593833113,True
00000000000000000011,crop_loss,0.730354391026093,recovering,0.5075783990934157,0.730354391026093,indistinguishable,indistinguishable,-0.22277599193267728,True
0000000000000000002b,crop_loss,0.1751743266164742,degraded,0.35838957284342,0.1751743266164742,degraded,degraded,0.1832152462269458,False
0000000000000000002d,crop_loss,0.4824669151948398,indistinguishable,0.4788230519868076,0.4824669151948398,indistinguishable,indistinguishable,-0.0036438632080322275,False
0000000000000000003a,crop_loss,0.3053277522367648,degraded,0.1943218949252305,0.3053277522367648,degraded,degraded,-0.11100585731153428,False
0000000000000000009b,crop_loss,0.4928844914718775,degraded,0.6263184877741312,0.4928844914718775,recovering,degraded,0.13343399630225372,True
0000000000000000009d,crop_loss,0.3740934465652373,degraded,0.3921930536618471,0.3740934465652373,degraded,degraded,0.018099607096609793,False
000000000000000000a8,crop_loss,0.2038031154052213,degraded,0.2863272089048388,0.2038031154052213,degraded,degraded,0.0825240934996175,False
000000000000000000da,crop_loss,0.7736581409080185,recovering,0.7556697188886987,0.7736581409080185,recovering,recovering,-0.017988422019319827,False
000000000000000000e3,crop_loss,0.4798904113809524,indistinguishable,0.4306779975664353,0.4798904113809524,indistinguishable,indistinguishable,-0.049212413814517075,False
000000000000000000e9,crop_loss,0.4038850602527873,degraded,0.4300731749190734,0.4038850602527873,indistinguishable,degraded,0.026188114666286066,True
0000000000000000011b,crop_loss,0.4579397245820312,degraded,0.4479688316396144,0.4579397245820312,indistinguishable,degraded,-0.00997089294241682,True
00000000000000000128,crop_loss,0.5288331148962316,recovering,0.6328720003665633,0.5288331148962316,recovering,recovering,0.10403888547033169,False
0000000000000000016c,crop_loss,0.4583489423814819,degraded,0.5388290868729937,0.4583489423814819,indistinguishable,indistinguishable,0.0804801444915118,True
