dataset,parent_id,ref_state,n,r_cos_spatial,selected_median_km,remaining_median_km
candidate,000000000000000003a5,good,100,0.18544925788195055,3.028940403567316,3.215429988254038
candidate,000000000000000003b0,bad,100,0.23571707995085323,1.8970532825271955,2.4551148784439025
candidate,000000000000000003b0,good,100,-0.06329019118072195,1.8276303874346378,2.4066943734270048
candidate,000000000000000003b7,bad,100,0.3194806315066901,0.46674723952141217,3.4593008178341664
candidate,000000000000000003b7,good,100,0.2266476176430623,1.186409554999483,2.3109057254287797
candidate,000000000000000003bf,bad,100,0.003818470147360662,2.8103186046724438,2.2312384020664138
candidate,000000000000000003bf,good,100,0.1410240732949932,2.2929669915511828,2.1781644084247533
candidate,000000000000000003c7,bad,100,0.09816474871362044,4.67339669521155,3.4725216504721
candidate,000000000000000003c7,good,100,-0.0380138346163907,2.0958551443923743,2.144243320200534
candidate,000000000000000003c8,bad,100,0.2504264015604182,0.710756782252091,1.70376701793683
candidate,000000000000000003c8,good,100,0.1592090405752952,2.63549790847936,2.9803406456145436
candidate,000000000000000003d2,bad,100,0.13349874880879314,2.8416920865126793,2.254837084016373
candidate,000000000000000003d2,good,100,0.14092654294745938,1.6273993627916408,2.4775296864302803
candidate,000000000000000003f1,bad,100,0.19095457182500392,1.8742177078135318,2.172386784971579
candidate,000000000000000003f1,good,100,0.25819857698279325,2.6147930680198983,2.97335070150814
candidate,000000000000000003f2,bad,100,0.21522894050936722,2.5923194663919085,1.9271497608572126
candidate,000000000000000003f2,good,100,0.17476071918504377,2.928920457191555,2.14204122563276
candidate,000000000000000003f8,bad,100,0.19849803218011872,0.40867436610537633,0.7831801256972762
candidate,000000000000000003f8,good,100,0.4836558243689106,1.0012615778739271,2.590321663061222
candidate,000000000000000003fa,bad,100,-0.11944081422265089,1.9855176028859753,2.4173915486212367
candidate,000000000000000003fa,good,100,0.11441058072691702,1.7837115667248888,2.2520896219789446
candidate,00000000000000000407,bad,100,0.22564666095913574,2.9593127557198144,3.0578357084009546
candidate,00000000000000000407,good,100,0.15446778322368027,0.8465942575222505,2.0228000023129145
candidate,0000000000000000040f,bad,100,0.22051068324523565,0.39685945033578995,1.752690828755553
candidate,0000000000000000040f,good,100,0.30932611319477404,1.224192718572746,3.083815130060747
candidate,00000000000000000426,bad,100,0.25754153559471904,1.22995109925758,2.1085388349640177
candidate,00000000000000000426,good,100,0.3420840608390242,0.6808870361437447,1.3985033836209777
candidate,0000000000000000042b,bad,100,-0.21480282733385772,1.7097960269576598,1.6295763360604294
candidate,0000000000000000042b,good,100,-0.029081906743846142,3.462520310370825,2.755913089303378
candidate,00000000000000000442,bad,100,0.26706452483869236,0.09923636901940049,0.5747441536754958
candidate,00000000000000000442,good,100,0.3604595132139887,1.7224598899954915,2.5314155977270336
candidate,0000000000000000044b,bad,100,0.18569494465587918,3.1880672224752415,3.457527887042748
candidate,0000000000000000044b,good,100,0.021776861824839292,2.411715594883143,2.1526175904152542
candidate,00000000000000000465,bad,100,0.21871288716827178,2.7888968794937883,3.194876304450313
candidate,00000000000000000465,good,100,0.0013320239888177678,1.931139489711554,2.194144231208438
candidate,0000000000000000046c,bad,100,0.39295953338599,1.5632224096613119,2.476033119825094
candidate,0000000000000000046c,good,100,0.3439483246661013,1.1696179694352595,2.133047147283201
candidate,0000000000000000047e,bad,100,0.20316890520140823,0.5364327037989108,1.326736925250471
candidate,0000000000000000047e,good,100,0.061896372671959375,2.764938499344807,2.354263189661223
candidate,00000000000000000480,bad,100,0.41447323275723474,1.0916601722363217,2.9497917936148723
candidate,00000000000000000480,good,100,0.2014853901023924,0.5499410752561753,2.4097714221866506
candidate,00000000000000000483,bad,100,0.586674943955769,1.2479777509442245,3.942784985177196
candidate,00000000000000000483,good,100,0.2107146012307474,1.7780854446702263,2.310786317281954
candidate,00000000000000000485,bad,100,-0.02629979732767884,1.7372075910997067,2.7732633868859766
candidate,00000000000000000485,good,100,0.16779977534385906,1.3064010499661804,1.6248908616535083
candidate,00000000000000000490,bad,100,-0.2088232478847656,2.4984755475992237,1.9104338263397926
candidate,00000000000000000490,good,100,-0.19133558253739663,3.026455004362247,2.4626512409679546
candidate,00000000000000000497,bad,100,0.6109903328194619,0.6752079702671302,1.5659787301413128
candidate,00000000000000000497,good,100,0.1341035977712101,2.7229134366968375,3.2723724664224876
candidate,0000000000000000049b,bad,100,0.31509883465971145,0.7533061590364821,1.9707857365501562
candidate,0000000000000000049b,good,100,0.09348188204672025,1.7646420220767343,2.9665856925656255
candidate,000000000000000004a1,bad,100,0.30926836944196395,0.9078627699445798,2.163419309448178
candidate,000000000000000004a1,good,100,0.35166639342320594,1.003742927104508,2.6482504304451866
