dataset,parent_id,parent_label,n_bad,n_good,n_eff_300m_bad,n_eff_300m_good,n_eff_min_300m,n_min
stable,00000000000000000283,stable_crop,100,100,57.837406297284886,54.50845983991993,54.50845983991993,100
stable,00000000000000000284,stable_nature,100,100,35.503104059999224,60.36052641629926,35.503104059999224,100
stable,00000000000000000285,stable_nature,100,100,15.362049798096674,40.00088356854139,15.362049798096674,100
stable,00000000000000000286,stable_crop,100,100,47.923617960424956,49.18574208709668,47.923617960424956,100
stable,00000000000000000287,stable_built,100,100,38.75503832029375,60.910989692184685,38.75503832029375,100
stable,00000000000000000288,stable_crop,100,100,58.804777293407724,52.82542729667984,52.82542729667984,100
stable,00000000000000000289,stable_nature,17,100,2.154783226062617,58.54945050126953,2.154783226062617,17
stable,0000000000000000028a,stable_crop,100,100,47.805147114603365,47.58346917319095,47.58346917319095,100
stable,0000000000000000028b,stable_crop,100,100,50.280572099273684,36.810293509085234,36.810293509085234,100
stable,0000000000000000028e,stable_nature,100,100,57.956232661760744,53.76226082007863,53.76226082007863,100
stable,0000000000000000028f,stable_crop,100,100,59.28014317737805,33.147824661034676,33.147824661034676,100
stable,00000000000000000290,stable_crop,100,100,48.04450458177017,38.580741578439294,38.580741578439294,100
stable,00000000000000000292,stable_crop,100,100,43.28533278609087,63.93348513729095,43.28533278609087,100
stable,00000000000000000294,stable_crop,100,100,49.25217683091906,39.92544929855545,39.92544929855545,100
stable,00000000000000000296,stable_nature,100,100,53.00159365046819,62.41534268867923,53.00159365046819,100
stable,00000000000000000297,stable_crop,100,100,57.571960532913,39.024518756836464,39.024518756836464,100
stable,00000000000000000298,stable_nature,100,100,68.49799931743406,16.355551261767165,16.355551261767165,100
stable,00000000000000000299,stable_crop,100,100,49.68465879171333,50.93099060046485,49.68465879171333,100
stable,0000000000000000029a,stable_nature,100,100,26.47971845671517,46.12346090561566,26.47971845671517,100
stable,0000000000000000029b,stable_nature,100,100,56.42749866866703,56.645369325100724,56.42749866866703,100
stable,0000000000000000029c,stable_crop,100,100,38.12339602553393,55.44127784579955,38.12339602553393,100
stable,0000000000000000029d,stable_nature,100,100,3.541905913709484,55.4946046636297,3.541905913709484,100
stable,0000000000000000029e,stable_nature,100,100,49.63143240148048,45.09630150748841,45.09630150748841,100
stable,0000000000000000029f,stable_nature,100,100,47.869297555920134,59.42807971822943,47.869297555920134,100
stable,000000000000000002a0,stable_nature,100,100,38.03923747649314,57.221919174501586,38.03923747649314,100
stable,000000000000000002a1,stable_nature,100,100,49.79773831797849,62.805268639854,49.79773831797849,100
stable,000000000000000002a2,stable_crop,100,100,50.80059116215246,60.92274724038389,50.80059116215246,100
stable,000000000000000002a3,stable_nature,100,100,10.870727704475788,60.67024134280873,10.870727704475788,100
stable,000000000000000002a5,stable_crop,100,100,54.09741998808947,21.953456269686786,21.953456269686786,100
stable,000000000000000002a6,stable_nature,100,100,43.23821616746718,59.64100793320097,43.23821616746718,100
stable,000000000000000002a7,stable_crop,100,100,51.25288481040406,38.91207836584675,38.91207836584675,100
stable,000000000000000002a8,stable_crop,100,100,24.095596601469346,54.99543845749212,24.095596601469346,100
stable,000000000000000002a9,stable_nature,100,100,49.27717285169748,49.077127505558046,49.077127505558046,100
stable,000000000000000002aa,stable_built,100,100,47.98489958842692,49.37264931777698,47.98489958842692,100
stable,000000000000000002ab,stable_crop,100,100,57.026244774379165,56.523446168981515,56.523446168981515,100
stable,000000000000000002ac,stable_nature,100,100,3.6971046271354235,58.115404630019036,3.6971046271354235,100
stable,000000000000000002ad,stable_crop,100,100,57.714931618429155,50.22544415454186,50.22544415454186,100
