parent_id,parent_label,min_dist_m,n_good,n_bad,m_g,m_b,dor
00000000000000000618,stable_nature,1000,89,92,0.014545221187491774,0.021027203127125048,0.5911096455097044
00000000000000000618,stable_nature,2000,59,54,0.016662611658036997,0.02230192473995567,0.5723646885359127
00000000000000000619,stable_nature,0,100,100,0.03513855063512168,0.05533849573477079,0.6116302195357013
00000000000000000619,stable_nature,500,100,99,0.03513855063512168,0.05533849573477079,0.6116302195357013
00000000000000000619,stable_nature,1000,93,95,0.03780965976471769,0.05533849573477079,0.5940911598027359
00000000000000000619,stable_nature,2000,68,78,0.039188606039090045,0.07002467949546784,0.6411736369992189
0000000000000000061a,stable_crop,0,100,100,0.09975500553032168,0.10700459187467408,0.5175314385264472
0000000000000000061a,stable_crop,500,100,97,0.09975500553032168,0.10700459187467408,0.5175314385264472
0000000000000000061a,stable_crop,1000,91,91,0.10939268663787052,0.10700459187467408,0.49448215157648817
0000000000000000061a,stable_crop,2000,70,47,0.11812541587641992,0.13157116648094416,0.5269241782897671
0000000000000000061b,stable_crop,0,100,100,0.05886817656040315,0.00798945681791452,0.11949954573752604
0000000000000000061b,stable_crop,500,99,89,0.06152856220686189,0.011055552734578145,0.1523136672995918
0000000000000000061b,stable_crop,1000,98,73,0.06152856220686189,0.012158436271620299,0.16500110633500373
0000000000000000061b,stable_crop,2000,70,47,0.1531855034711686,0.012158436271620299,0.07353421171928393
0000000000000000061d,stable_nature,0,100,100,0.036204212559783525,0.00424393931487641,0.1049229474790971
0000000000000000061d,stable_nature,500,100,92,0.036204212559783525,0.00785935065451766,0.17836393793474423
0000000000000000061d,stable_nature,1000,94,87,0.04009589354889391,0.012204189347436034,0.23334933084894
0000000000000000061d,stable_nature,2000,67,65,0.0581560297650884,0.023739340741698523,0.28987402577831056
0000000000000000061e,stable_built,0,100,100,0.07240156927571226,0.020048861190975865,0.2168606580797159
0000000000000000061e,stable_built,500,97,30,0.07883549608014191,0.027369069429561344,0.2577014396504743
0000000000000000061f,stable_nature,0,100,100,0.07249444030699462,0.43267717956726537,0.856495421643252
0000000000000000061f,stable_nature,500,99,100,0.07249444030699462,0.43267717956726537,0.856495421643252
0000000000000000061f,stable_nature,1000,96,100,0.07249444030699462,0.43267717956726537,0.856495421643252
0000000000000000061f,stable_nature,2000,75,94,0.07736385898306272,0.43267717956726537,0.8483183643343688
00000000000000000620,stable_crop,0,100,100,0.07431453000344732,0.04392878421855519,0.37151178066361645
00000000000000000620,stable_crop,500,99,96,0.07431453000344732,0.046853353678195785,0.38668129090140546
00000000000000000620,stable_crop,1000,97,90,0.07431453000344732,0.0500636259409553,0.4025114021061011
00000000000000000620,stable_crop,2000,88,52,0.07431453000344732,0.06219092436869731,0.455592962598368
00000000000000000621,stable_crop,0,100,100,0.04628811905038506,0.029729905591252926,0.39109021486698337
00000000000000000621,stable_crop,500,97,91,0.04628811905038506,0.029729905591252926,0.39109021486698337
00000000000000000621,stable_crop,1000,93,80,0.04628811905038506,0.029729905591252926,0.39109021486698337
00000000000000000621,stable_crop,2000,71,36,0.04628811905038506,0.044684982484379174,0.4911889528885873
00000000000000000623,stable_crop,0,100,100,0.11181723219137674,0.09246226560745721,0.4526262625633514
00000000000000000623,stable_crop,500,96,96,0.13314211023177397,0.09875801175676786,0.425864423483234
00000000000000000623,stable_crop,1000,91,90,0.13314211023177405,0.09875801175676772,0.4258644234832335
00000000000000000623,stable_crop,2000,64,76,0.13434504941136458,0.09983190675088624,0.42630969496969134
00000000000000000625,stable_nature,0,100,100,0.04421383567226698,0.13836868616294437,0.75784190497199
