parent_id,parent_label,min_dist_m,n_good,n_bad,dor_knn
000000000000000006a8,crop_loss,500,200,186,0.3122586005718683
000000000000000006b4,crop_loss,500,196,200,0.5847876494989719
000000000000000006be,crop_loss,500,193,188,0.4230283369089704
000000000000000006c0,crop_loss,500,199,200,0.2858087969198564
000000000000000006cc,crop_loss,500,188,198,0.3693204927735888
000000000000000006ce,crop_loss,500,193,196,0.5097278300946991
000000000000000006d9,crop_loss,500,198,197,0.19662821536248332
000000000000000006e5,crop_loss,500,195,194,0.47320087710213987
00000000000000000001,built_loss,1000,177,192,0.471960928742278
00000000000000000049,built_loss,1000,187,173,0.5726959305611937
0000000000000000004a,built_loss,1000,184,69,0.533435579760618
0000000000000000004f,built_loss,1000,186,185,0.4313575054908349
0000000000000000005a,built_loss,1000,181,195,0.4742552382582215
00000000000000000079,built_loss,1000,151,149,0.6515694312968434
00000000000000000085,built_loss,1000,185,97,0.4516653866391369
00000000000000000087,built_loss,1000,193,169,0.5345482872380221
000000000000000000a1,built_loss,1000,190,155,0.4038262903101153
000000000000000000b8,built_loss,1000,179,81,0.4940913182769652
000000000000000000c0,built_loss,1000,171,181,0.604589253185052
000000000000000000e2,built_loss,1000,182,167,0.6199416863973596
000000000000000000f0,built_loss,1000,189,151,0.641454540303356
000000000000000000f8,built_loss,1000,190,184,0.5475649335644601
00000000000000000114,built_loss,1000,172,174,0.6220717663795113
0000000000000000011c,built_loss,1000,182,151,0.6550095495076286
00000000000000000151,built_loss,1000,189,128,0.3874694272028837
00000000000000000161,built_loss,1000,183,167,0.7456454957346165
0000000000000000016a,built_loss,1000,182,133,0.25970639997917033
00000000000000000176,built_loss,1000,184,191,0.5476943187992798
000000000000000001a8,built_loss,1000,189,189,0.5611044032020563
000000000000000001be,built_loss,1000,167,188,0.6185614142226402
000000000000000001cd,built_loss,1000,179,182,0.6273439059121516
000000000000000001e5,built_loss,1000,145,166,0.7102861908923276
00000000000000000206,built_loss,1000,178,180,0.5254922934249353
00000000000000000209,built_loss,1000,183,191,0.6863107430164117
00000000000000000231,built_loss,1000,185,181,0.4994738442688705
0000000000000000024c,built_loss,1000,179,183,0.6538333595387771
0000000000000000026d,built_loss,1000,187,171,0.5768449699030309
00000000000000000278,built_loss,1000,127,163,0.6177620137529605
00000000000000000293,built_loss,1000,171,192,0.4687234921420334
000000000000000002a4,built_loss,1000,183,126,0.5113151771312417
0000000000000000034d,built_loss,1000,186,200,0.5356820906522151
00000000000000000356,built_loss,1000,172,184,0.4987183786113015
00000000000000000362,built_loss,1000,195,178,0.4940487406877801
00000000000000000363,built_loss,1000,188,128,0.3522841817939804
00000000000000000364,built_loss,1000,150,187,0.6766876899163271
00000000000000000375,built_loss,1000,174,179,0.4786603303752884
00000000000000000380,built_loss,1000,168,184,0.5404526425883698
00000000000000000384,built_loss,1000,189,129,0.6366404834044407
0000000000000000039e,built_loss,1000,179,200,0.44312496365663057
000000000000000003a1,built_loss,1000,194,185,0.6685194757639885
000000000000000003a5,built_loss,1000,191,106,0.5631468419963519
000000000000000003b7,built_loss,1000,185,180,0.48495727253369586
000000000000000003bf,built_loss,1000,172,179,0.5955800395381331
000000000000000003d2,built_loss,1000,181,189,0.5104952490893405
000000000000000003f8,built_loss,1000,190,62,0.41034351658913837
000000000000000003fa,built_loss,1000,191,169,0.4159665871632022
00000000000000000407,built_loss,1000,170,191,0.5843485651630534
0000000000000000040f,built_loss,1000,192,153,0.5751600746275011
00000000000000000426,built_loss,1000,148,184,0.6457426251011444
0000000000000000042b,built_loss,1000,196,151,0.5871383280744135
00000000000000000465,built_loss,1000,179,190,0.6840081598364803
0000000000000000047e,built_loss,1000,189,118,0.541671117355831
00000000000000000490,built_loss,1000,189,175,0.5654168009818327
000000000000000004c0,built_loss,1000,183,171,0.5834704682460584
000000000000000004c5,built_loss,1000,181,100,0.6400484328798447
000000000000000004d2,built_loss,1000,184,188,0.797247668331857
000000000000000004d9,built_loss,1000,178,172,0.569117573304864
000000000000000004eb,built_loss,1000,184,181,0.5488418136326828
000000000000000004f7,built_loss,1000,184,162,0.5260684867633741
000000000000000004fe,built_loss,1000,189,120,0.5692516581783067
0000000000000000051d,built_loss,1000,183,155,0.6460514814700775
00000000000000000559,built_loss,1000,178,189,0.6945892999300194
00000000000000000576,built_loss,1000,189,18,0.36370224333424256
00000000000000000577,built_loss,1000,187,24,0.6573030682671476
00000000000000000594,built_loss,1000,178,153,0.6728907797719288
000000000000000005ad,built_loss,1000,179,181,0.5221310078752018
000000000000000005bd,built_loss,1000,181,121,0.5893691022964501
000000000000000005bf,built_loss,1000,189,196,0.42823679908100615
000000000000000005cc,built_loss,1000,166,195,0.261228050749783
000000000000000005de,built_loss,1000,188,166,0.38837882820877245
000000000000000005e7,built_loss,1000,185,177,0.4900547201199545
000000000000000005f9,built_loss,1000,189,108,0.5981437354412591
0000000000000000061c,built_loss,1000,186,165,0.5527222947776068
00000000000000000626,built_loss,1000,194,177,0.4598765661874128
0000000000000000062a,built_loss,1000,169,194,0.49739204984527424
00000000000000000636,built_loss,1000,175,194,0.6071026727333083
0000000000000000064d,built_loss,1000,186,165,0.502039870291554
00000000000000000694,built_loss,1000,183,153,0.36868270820266696
0000000000000000069d,built_loss,1000,174,187,0.681804187022941
000000000000000006b7,built_loss,1000,192,155,0.48986146637513056
000000000000000006df,built_loss,1000,181,166,0.4873753255439479
000000000000000006e3,built_loss,1000,170,179,0.6733258642144967
00000000000000000011,crop_loss,1000,176,184,0.4835902245140099
0000000000000000002b,crop_loss,1000,180,187,0.39884143007226736
0000000000000000002d,crop_loss,1000,157,167,0.48637282077265825
0000000000000000003a,crop_loss,1000,186,182,0.22422287729688808
0000000000000000009b,crop_loss,1000,177,186,0.5848866200370123
0000000000000000009d,crop_loss,1000,184,131,0.4150209987325638
000000000000000000a8,crop_loss,1000,172,125,0.3051041070645532
000000000000000000da,crop_loss,1000,166,185,0.6779864214371183
000000000000000000e3,crop_loss,1000,170,191,0.42718035645903446
000000000000000000e9,crop_loss,1000,186,13,0.6648853936714486
0000000000000000011b,crop_loss,1000,186,172,0.4683241276751134
00000000000000000128,crop_loss,1000,176,190,0.6129332266137969
0000000000000000016c,crop_loss,1000,173,175,0.5060578381755915
00000000000000000192,crop_loss,1000,196,168,0.5324807751481627
00000000000000000196,crop_loss,1000,177,189,0.4236871565387415
