PLOTID,parent_id,longitude,latitude,group,ghm_aa
a-70-34980860187487_-4-07666706056303,,-70.34980860187517,-4.0766670605577495,stable_natural,0.0024391983170062304
a113-89614357737386_22-81233333914278,,113.89614357737575,22.81233333912668,stable_natural,0.9594093561172485
a1-18982569569424_19-97741948596677,,1.1898256956924316,19.97741948595831,stable_natural,0.003675835905596614
a17-26715034950744_4-18728764441969,,17.26715034950682,4.187287644412811,stable_natural,0.05045405030250549
a147-97269370356702_-31-56310565659732,,147.97269370356946,-31.563105656582,stable_natural,0.2442145049571991
a117-30761321578686_34-27024492804633,,117.307613215789,34.27024492802941,stable_artificial,0.9379838109016418
a149-5555893577626_-34-14593658657794,,149.55558935776395,-34.14593658656207,stable_natural,0.39504390954971313
a148-27742549227085_-29-1105324715084,,148.2774254922706,-29.110532471491595,stable_natural,0.12251926958560944
a49-84751737461362_50-32620248230064,,49.84751737461659,50.32620248227471,stable_natural,0.02486199326813221
a103-78089825847198_29-45183284253211,,103.78089825847286,29.451832842520567,stable_artificial,0.9485553503036499
a35-06331228503376_-16-06607980134617,,35.06331228503393,-16.0660798013421,stable_artificial,0.6600927114486694
a125-03012419935366_45-96556970459262,,125.03012419935756,45.96556970456592,stable_artificial,0.25492462515830994
a-97-8217815520779_22-07948755276809,,-97.82178155207868,22.079487552758515,stable_natural,0.24710199236869812
a79-28575283068649_14-02031114214035,,79.2857528306856,14.020311142132954,stable_natural,0.36403629183769226
a111-78091602478126_51-06042954365569,,111.78091602478136,51.06042954363258,stable_artificial,0.5928338170051575
a13-33610477057694_13-66776078454281,,13.336104770578215,13.66776078453312,artificial_reversion,0.8312097191810608
a-39-04698934897492_-13-97340014016641,,-39.04698934897479,-13.97340014016208,stable_natural,0.022209184244275093
a102-21754568123622_12-39585430335188,,102.21754568123708,12.395854303345232,stable_natural,0.07975707948207855
a118-3397715284134_39-21821699869226,,118.3397715284176,39.218216998674045,stable_natural,0.2441214621067047
a-16-58988455867042_12-44433619938594,,-16.58988455866925,12.44433619938195,stable_artificial,0.3347912132740021
a88-21428030364659_21-87592907844104,,88.21428030364666,21.87592907842916,stable_natural,0.666380763053894
a24-99361522333608_61-41290467855504,,24.99361522334337,61.41290467851826,stable_natural,0.07598932832479477
a111-8288116287698_59-93552009882801,,111.82881162878216,59.935520098787165,stable_natural,0.002323710825294256
a30-51408471704023_60-15384602973698,,30.514084717046075,60.15384602969834,artificial_reversion,0.9651762843132019
a36-8413514836948_35-66021678881234,,36.841351483696656,35.660216788795864,stable_artificial,0.8001002073287964
a151-18920600478245_63-68905251100204,,151.18920600479018,63.689052510963336,stable_natural,0.003786857705563307
a120-71794667372198_31-4815732983018,,120.71794667372244,31.481573298287664,artificial_reversion,0.9884874224662781
a6-106366113031_4-39349985888739,,6.106366113031781,4.393499858885921,stable_natural,0.005624738056212664
a79-18648804581899_11-48878484776656,,79.1864880458194,11.488784847763412,stable_artificial,0.7094459533691406
a-40-13392789957871_-7-63322429417221,,-40.133927899580456,-7.633224294166862,stable_natural,0.13871769607067108
a92-34698574537128_29-3737706608009,,92.34698574537278,29.373770660785137,stable_natural,0.1608452945947647
a8-49732254032217_35-80777686675205,,8.497322540323179,35.807776866738585,stable_artificial,0.5350111722946167
a116-4382080671948_39-53887952313858,,116.43820806719576,39.53887952312171,artificial_reversion,0.7021182775497437
a-71-43477742878835_-33-79140830728281,,-71.43477742878932,-33.791408307266494,artificial_reversion,0.4366055727005005
a32-08266301972837_18-10282644660854,,32.08266301973002,18.10282644659984,stable_natural,0.00449789734557271
a10-41190190194176_59-74878190011953,,10.411901901953543,59.74878190007762,stable_artificial,0.9289928078651428
a108-74305473367842_34-02427704646406,,108.7430547336786,34.024277046453776,stable_artificial,0.8424932956695557
a55-19105625114087_57-67355312395441,,55.19105625114512,57.673553123923725,stable_natural,0.7068192362785339
a125-0464385003917_47-14671991414567,,125.04643850039632,47.14671991412064,stable_artificial,0.9320311546325684
a102-09790459196996_71-9705195343095,,102.09790459198828,71.97051953424949,stable_natural,0.0005049026804044843
